video_id,category,duration,upload_date,creator,quality_score,popularity_weight,content_embedding
10,Beauty,700,2026-05-13 07:45:50.513160,channel_1028,0.3396688375860237,0.006208506688949447,"[0.4664758487599968, 0.0756784129569632, 0.10613500859254639, 0.212655174380452, -0.08481950456069148, -0.19813297829668228, 0.032339624618841045, 0.0486261295469949, -0.29648150980977134, 0.06871903704739714, 0.19601333285002906, -0.1672663561214583, 0.07980063904809782, 0.16347664843122112, 0.10748861743214488, 0.12477098688972695, -0.04485123046370133, -0.20657641727674447, -0.08192422069287933, -0.10737482098439534, -0.014704711693462207, 0.2003043174231889, -0.24034961520331366, 0.02642885877088394, -0.19483180215295348, -0.13558816208802696, 0.10237003885267645, -0.21801653231158122, 0.13452502992289656, -0.24773766060400876, 0.12220123464194796, -0.28389834736179853]"
11,Science,105,2025-08-23 07:45:50.513160,channel_1489,0.35388444856680407,0.0013649840198336526,"[-0.09607619796840633, 0.2949242965016007, 0.2656964558536415, -0.06415180768024176, 0.0606428642875467, 0.18724490648040096, 0.1059485315314337, -0.042526490572010064, -0.11642045728818634, 0.13499892802487948, 0.1758359427855909, 0.26680920387450596, -0.26238456262310655, -0.19487373644579076, 0.18069101812279023, -0.2412788875472136, 0.19260720062440412, -0.033424205569470095, -0.08100743301560212, 0.031946250289809276, -0.20921857076963202, 0.12814274399277362, 0.2627558548662161, 0.1353835161780705, -0.03833462591810516, -0.23918030189919923, -0.23320120507473235, -0.20677314892116036, -0.001909397819373619, 0.017634871044922642, 0.13505185870048045, -0.27930089856681495]"
12,Gaming,50,2026-02-13 07:45:50.513160,channel_603,0.27410945337081827,0.005438369340755787,"[0.2564894814700173, 0.13583475216060523, -0.06393335667309594, -0.23273256556312144, 0.24434787652213308, -0.05870221473716337, -0.003915952601221231, 0.07503940496532177, -0.17863337883873662, -0.05519812820056751, 0.1692670468564211, 0.14946695993069886, 0.15122965179020337, -0.2259679252853322, -0.04627814066578222, -0.07753970099737285, 0.08317041635224619, 0.06565899328786479, 0.03040357262663693, 0.4823290796620818, -0.056885386473952936, -0.07977540859021465, -0.22627502154732138, -0.30082259432151165, -0.2387096775604444, -0.14058337109195343, 0.25626704314198856, 0.007660960301620246, 0.037817949684635574, -0.018832289687649204, 0.071457543656139, 0.27426323383385864]"
13,Comedy,248,2026-04-11 07:45:50.513160,channel_681,0.23517437050077064,0.001213112669011585,"[-0.33788095453114364, 0.20645298605310433, -0.42618509005837235, 0.004779082060454392, 0.3714290063596372, 0.11534068791902874, 0.0632165905004162, 0.33923915608286104, -0.11913731346703818, 0.07353782000400316, 0.09796466014380609, -0.08852349768164507, -0.07356201085405689, -0.09214598150043748, 0.014795932850957583, 0.0926394628300659, 0.02088194910384659, 0.12022164044830277, -0.33368126541562476, -0.036983685788712896, -0.17342321367279231, 0.051128298301279976, 0.0486195072106273, -0.01959271096877859, 0.086469177375522, 0.1690840562561239, -0.010255487037781114, -0.178214643258009, -0.2679515295635115, 0.006119038979138669, 0.04098544969074786, -0.16429038122750705]"
14,Comedy,192,2025-07-24 07:45:50.513160,channel_533,0.2989805200398963,0.002844583320610224,"[0.10935346634077821, -0.0691524119925385, -0.24957971318918026, 0.18931103611650107, 0.17236809457826238, -0.3036964189035645, -0.08476867362853995, -0.09064241951704621, 0.24702667883376922, -0.01496073074559076, -0.22538845943390745, 0.13290937603543335, -0.18544464685009515, -0.039226283402167356, -0.1159833880400675, -0.08444545240876296, 0.14121949044607804, 0.22922338315963053, -0.1920129652738793, 0.09433281480840643, -0.11040618945788902, -0.10572301343382157, 0.07392563260343898, -0.15487719595969368, 0.07090710683006292, 0.11000837157047196, -0.06517093453633839, 0.19995484214567927, -0.19178030591998502, 0.20271639028431962, -0.29290642276899054, 0.40677403535401113]"
15,Education,557,2026-05-08 07:45:50.513160,channel_1428,0.5442291063061087,0.0019262992982624016,"[-0.08815773659366412, -0.25225456285371395, -0.050496592272962125, -0.227116244189023, 0.08398275943296017, 0.2968215418684264, -0.21560898480319923, 0.12574653867731247, -0.3326482920856123, 0.22418131321507725, 0.0903354351783093, 0.2335631780125637, -0.026552847302564127, -0.09444167728083104, 0.1771212935742099, -0.2838846910507423, -0.3782437262957496, -0.0010768953008919524, -0.08455383003740223, 0.12019799089646054, 0.23689850471922075, 0.11567960568101843, 0.21961254060278304, 0.06967772292616044, 0.10734170704911039, -0.025318017968186505, 0.1009284325841034, 0.03616852583810853, 0.07057285176970447, -0.03618397929703801, 0.17556123673770188, -0.1541889305266875]"
16,Finance,597,2025-06-29 07:45:50.513160,channel_837,0.5613962490053116,0.0014432113967506387,"[-0.0034594858357130504, 0.24732097946811415, -0.17887001849199277, -0.40758979964211517, 0.06909106392263421, -0.04844565955025168, 0.19058584219286007, -0.024607038850206844, -0.11394081836668193, -0.01429445245631925, 0.20608485393381354, 0.10847898021229284, -0.4588828159301698, 0.03502421251622713, 0.04445009692357096, -0.0034408100815517045, -0.11517589620211516, 0.22521452898001507, 0.23454754589960491, -0.4153792427324739, -0.15044560280062133, -0.027287212801878565, 0.17882974317616462, 0.006571088061935164, -0.12888333832147664, 0.13377396938429156, -0.03984486138849379, -0.0221345112346692, -0.005120393953038154, 0.1082789063675071, -0.05817329339716869, 0.12951544791547784]"
17,Sports,269,2026-03-29 07:45:50.513160,channel_644,0.2703317740996405,0.0013164649074337855,"[-0.012906347671439142, -0.18846970657612705, -0.0064958873475848495, -0.1793195856919854, 0.00723959527986561, 0.14651197558195952, -0.18963767415476004, 0.06434248799817799, -0.14643488068071664, 0.035626855128214986, 0.1519399446576629, -0.3761410172403501, -0.19685254638991068, -0.06517372704200369, 0.05564635949567637, -0.02938868773220885, -0.00810403289648636, 0.3608572715117344, -0.2141592459663147, 0.20056345007149637, -0.06181747854013525, 0.09705505446815778, 0.37604095173876806, 0.1216428560732679, 0.06579481333150841, 0.2824568250590455, 0.19867589051767784, -0.14119889877122893, 0.052022613796509964, -0.30336540329326217, -0.09540859243318917, 0.05547193118301448]"
18,Fitness,101,2025-07-18 07:45:50.513160,channel_232,0.33171592330784017,0.001941558253890573,"[-0.11941371556932817, 0.054215991767579366, -0.0026545299410042403, 0.10638589212496348, -0.08413009638141306, -0.18645686264500647, 0.29315237870036354, -0.0983100209403452, 0.13089788502156682, 0.28464815899615453, 0.03226184404809831, -0.16982866644731515, -0.035423170712435184, 0.20180578205219102, 0.04090444579150031, -0.2390120907084407, 0.11833054913841977, 0.15261882582911904, -0.07046792112260576, 0.1210279031063874, 0.04859378966215898, -0.03915559737757239, -0.25654299310036144, 0.2137873035547858, 0.15057199870878493, 0.11580038536327864, 0.3063211247677648, 0.18745738491469474, 0.13616453897884065, -0.4389426199363973, 0.23737652004037646, 0.016477104639583785]"
19,Movies,326,2025-07-26 07:45:50.513160,channel_523,0.31113788937890746,0.0013361374485595854,"[0.05373165722279651, 0.05490802658921443, 0.13305735274279604, 0.19295337380482636, 0.10905515202008094, 0.08172339931500577, 0.03980766188816358, -0.5762956226241099, -0.0494500911663843, -0.16190243896807724, 0.20818167651321168, 0.10644089634357427, -0.07877476782036898, -0.06150799600354023, -0.06774347255490545, -0.07081181086497484, -0.24838570207771316, -0.2856501658239682, 0.004994472863278116, 0.18489583689184755, -0.09245352865282595, 0.05217607498955228, 0.12625314018399278, -0.17080729058484792, -0.0034346926867718365, -0.11460545126287004, 0.2761656307870928, 0.26865847621329414, -0.17062926371600212, 0.0663512301590104, 0.18356930218222514, 0.14586676320054093]"
20,Music,288,2026-05-13 07:45:50.513160,channel_345,0.12055780027726076,0.0020864272497000255,"[0.014266729001203618, 0.22853859269784993, -0.15821463666590888, -0.05301598819471133, -0.15351423062016462, 0.13687110387982046, -0.10191286277333798, -0.029954324015882872, 0.1080408025254361, 0.12213550288916313, -0.15867145888276962, 0.1848265526677127, 0.07970768881724578, -0.18920778604038183, -0.23223955409433752, -0.0027671299778109382, 0.14869555275204957, 0.15317724375171843, 0.06229950022759461, 0.008514037366551357, 0.08951141464828086, -0.14961150792869263, 0.2950821861240979, 0.2927996215520331, 0.07500639335263874, 0.03451111921474278, -0.0719643588969925, 0.09248695189149034, -0.12092288605998358, -0.38894666261634553, -0.47474242889216883, -0.13984553245650894]"
21,Pets,432,2025-07-11 07:45:50.513160,channel_1069,0.43185485271799723,0.0027127393421386876,"[0.032921217552437175, 0.06988774050225549, -0.10247362657423678, 0.029859588457510806, -0.05773142197363236, -0.21037848570876327, -0.011314464191043691, 0.17114630523463398, -0.20085209983259117, -0.20075586238258777, -0.22510202044033698, -0.40768205528613966, -0.10109372419537517, 0.15033166939834644, 0.0366133646120777, -0.0356312319842326, 0.02717112996327817, -0.10294193091946945, -0.4100752621666163, 0.1649909593142502, 0.2254965366079637, -0.15329386994711808, -0.031754392417412146, -0.04989381586512741, 0.07395443239106857, 0.3557617209352732, 0.24416292502458817, -0.07934917609890878, 0.11420120964181954, 0.26407117944660735, 0.0859661168880481, -0.0009893335017370497]"
22,History,102,2026-03-06 07:45:50.513160,channel_545,0.16028868587324788,0.005175958402787653,"[0.08935221310857287, -0.1408942906260448, -0.11164639280960331, -0.21316994071369375, 0.061517686768966344, -0.026325421457020704, -0.16490449511220737, -0.03289190731249142, 0.09416003552130894, 0.3835958423614365, 0.20275893348147936, -0.45760901975940377, 0.04794335557702874, 0.2863525986882917, -0.268031237500368, 0.11050006949170137, -0.04740918947074867, 0.23045063416834355, 0.08098938872752999, -0.17710475453147403, -0.04023883471322443, -0.028387487792392262, -0.02467767660061635, 0.22423452900994684, -0.16881152198358082, 0.20095254564140633, -0.060553075611093035, 0.04477849274843619, 0.014500215562718551, -0.004368508523852379, -0.0027252087539265295, 0.2919690242922621]"
23,News,163,2025-10-21 07:45:50.513160,channel_1101,0.33967703945848626,0.003083722985177469,"[0.15998342409791363, -0.06888064949320037, 0.3005754016313757, 0.05216264783591109, 0.06791377369223565, -0.15900906322577268, -0.09447628458705092, -0.1307486005341932, 0.016345460135377993, 0.12130656230673816, 0.06973836540784462, 0.3015737009353969, -0.16858754597176764, 0.02181392907151133, -0.24363350359831568, -0.17506568669940975, 0.24014671123548373, -0.08795620851674145, -0.15256086693145446, -0.4044881288856415, -0.15445815556778678, -0.03898325608982645, -0.25777434001366206, -0.04990324661748053, 0.2412961314845073, -0.13431911723545273, -0.17915088601966186, -0.21343180134745354, -0.21682396025268189, 0.10170754520795423, 0.009242319267745562, 0.18170960123855995]"
24,Movies,407,2025-06-20 07:45:50.513160,channel_1096,0.2492747163065559,0.0012665594177427768,"[0.4103248183483783, -0.3718392014578887, 0.07721200183630998, -0.22724461061898077, 0.16026284213116887, -0.05523821634805736, 0.00555054786064347, -0.2606741596439783, -0.0866275419138195, 0.01821465329010716, 0.27548375122270213, -0.1614129061657956, -0.11187156156828733, 0.19182998670223184, -0.17457274530065167, 0.23207257306236684, -0.0018459140406096267, 0.06157864186344616, 0.07466120060388931, -0.1251836039336889, 0.0792044941019564, -0.1569049143775497, -0.1020009203710464, 0.1134966177719992, 0.05960221958935464, -0.015228934937117567, -0.2557080632397648, -0.2050078837876498, 0.056212723132288624, 0.14873245271751395, -0.22542160039421255, -0.17060831640452237]"
25,Tech,851,2025-09-03 07:45:50.513160,channel_793,0.1413360507042323,0.0016261958157553784,"[0.02862963098550222, 0.0240643193743428, -0.3464860846809908, 0.03447094274041381, -0.12766723079112474, 0.3501322685389732, 0.05316878235145124, 0.0899252053297051, 0.09544818805903223, -0.25900248044728413, 0.4147438677333742, -0.3462629192939789, 0.16977052390822905, 0.13199759468695296, -0.10177280910354054, 0.1421932546169736, -0.06775713896057832, -0.1441158610081833, 0.10018473223150924, -0.2147589695794647, -0.047846883839202055, -0.1267730295880089, -0.0716842932664359, 0.09232659409572522, -0.12681348751633523, -0.04103406128651033, -0.10735062932490247, 0.3080898611417483, 0.07309948056504673, 0.04695386373018732, 0.14581357229613506, -0.12676403181669016]"
26,Tech,642,2025-12-27 07:45:50.513160,channel_248,0.22701623206728233,0.0015890846910536958,"[0.15040910605669947, 0.06059685478633668, -0.27322692030354145, -0.24997036368024683, -0.1001780207412874, -0.2312362356199102, -0.04170957103840163, -0.1774502682413901, -0.01710598017203873, 0.24711336613521145, -0.008643204511588523, -0.05303256289612555, 0.06796012635970618, -0.12190514719698747, 0.1476358750567438, 0.08668479637993119, 0.0068032415370342025, 0.02701229109409953, 0.3573984230423403, 0.1649475070433408, 0.3850172273395099, 0.09312948840006044, -0.2576129566829463, -0.045892325524911785, -0.29761320342004105, 0.09247706607448944, 0.13047964650358834, -0.15507560380838287, -0.11476619444305786, 0.026038174224110526, -0.2097227185008584, -0.22286088168669016]"
27,Education,265,2026-03-05 07:45:50.513160,channel_46,0.7630672978920396,0.009343585251946222,"[0.25345811906733073, 0.02347294142991929, -0.11420449540421668, -0.34625397543223974, 0.17441448575839527, -0.14007121712233067, 0.3807471157992585, 0.17583843515222378, -0.1653680079419768, -0.14640514984869296, 0.35233801496090295, -0.01724179585220801, -0.1050375683664397, 0.005672618458204683, -0.10597914556741099, 0.049325135506143265, -0.0155155944182821, 0.17915296662945485, -0.0795129283801594, -0.18105771796863945, -0.07141184900663941, -0.07265991308499906, -0.015865546991346062, 0.12984436188113802, 0.1186652939895765, 0.24548309724973533, -0.16605306449657212, 0.07954280804212205, 0.14882960656294036, -0.13796400334616832, -0.04248701317886131, -0.3580935122019522]"
28,Finance,150,2025-10-22 07:45:50.513160,channel_1144,0.21027658455954498,0.006463720180398154,"[0.13847765554434988, -0.03290669086414926, 0.12316278158433418, 0.031463871691624644, -0.02827482959519693, -0.24322184018985282, -0.2160640211706016, -0.395974810625203, -0.08591138003074628, 0.3478897966673291, -0.19667025589962034, -0.40182105737121043, 0.14700005939866195, 0.36094098409024394, 0.04549270616128225, 0.044089591250568036, -0.047319158545000364, -0.27398403967899493, -0.22152448649786335, -0.04836840297737386, -0.07764140263105104, -0.017586967729869715, 0.12663834460419876, -0.08884694842855735, 0.1297522036104525, -0.08784704669135471, 0.15853974166634419, 0.013188373730168134, -0.06655152638643914, 0.010581240143336971, -0.04482353834748784, 0.017275658661690646]"
29,Travel,366,2025-11-08 07:45:50.513160,channel_213,0.5740188514067318,0.0017600531025184756,"[0.13668400850794443, -0.015724680287778216, -0.06663202639224075, -0.202566208812374, 0.10442385706817124, 0.06279231597077321, -0.2131003374039266, 0.15063682003258058, -0.21602856806417, 0.18556524184168527, 0.12401945406777529, 0.07566428816102537, -0.06797096454798802, 0.10381116638616968, 0.19406626570652943, 0.10679906744303033, -0.12084383408450347, 0.048212583306711534, 0.20410211656444524, 0.3964900366318403, -0.03699921199330793, 0.15467345077325315, 0.2045430381159567, -0.14647390037301525, 0.3213027521263897, -0.19204923097385596, 0.1458573788683021, 0.05504813366104288, 0.010020087331402026, 0.459185510671985, -0.05431530995129083, -0.05721634750025872]"
30,News,82,2025-11-06 07:45:50.513160,channel_238,0.3022481420135829,0.001273323160802845,"[0.24206224942443272, 0.13849558484833266, 0.23308500823862194, 0.02124680124171297, 0.05762002548307152, 0.34558924102725563, -0.15197607637053379, -0.01870300042974991, 0.1451222318131317, -0.03560740916127227, -0.1036522648896283, 0.11244020675918402, 0.24284887046514633, -0.025603623931250024, -0.030649517375960632, -0.1177493922930768, -0.05380845725389781, 0.19699909883381334, 0.014737193499352584, -0.14634694076075538, 0.0476973629566156, 0.19110659926917753, -0.10215056137727589, -0.24153983245206925, 0.39829103050530373, -0.25061601695427943, -0.06527014092766883, 0.04220085924301789, -0.0495272337812124, -0.013618757927448256, 0.10486891995110538, -0.43481392362118537]"
31,Cooking,108,2026-04-30 07:45:50.513160,channel_1079,0.634245397998885,0.007777433168734993,"[-0.2245275475930247, 0.007843945676383668, -0.07163805386619868, 0.02293513240814583, 0.0403462438266281, -0.37499755359631914, 0.22572309432340182, -0.0883063809587263, -0.1533920599980506, 0.03692612500983281, 0.018991655330626328, 0.2120855845174701, 0.048183187996461235, 0.20524818316951576, -0.1662700959288837, 0.025141569041963265, -0.19756307611757712, 0.017310771181770983, -0.02025487912962981, -0.02787730621365419, -0.026323050444477476, 0.1305078880129612, -0.2848670745659341, -0.15946644864737325, -0.0071904116445517495, -0.2088905894419757, 0.00817265163554689, -0.009012425375451454, -0.24878318124789037, -0.257539687692914, -0.4650053743013868, -0.21633534507864152]"
32,Finance,1107,2026-02-25 07:45:50.513160,channel_349,0.3719777966446833,0.007432881690095377,"[0.003245273353727238, 0.03538805015688325, 0.045745126657465635, -0.1762559298305671, -0.004147087771646363, 0.0900051738457828, -0.2873034835977189, 0.02794312250569289, 0.14874136545373118, -0.11119604856997536, 0.24067434357545475, -0.10590832046227709, -0.19486715485232364, 0.12616555621950087, 0.4606908563210743, 0.019338883719613977, 0.14385339902892366, -0.11526193397737124, -0.281317558785449, 0.037671419613352145, 0.07350049611017144, -0.08109323364413486, 0.14298079895784535, -0.14819731627020402, -0.20438900690664574, 0.2403137742485597, 0.24137973455742914, -0.14372545326074174, 0.38944628474432513, -0.06505082050784003, 0.019209565828959496, -0.019180038113302825]"
33,News,365,2025-08-30 07:45:50.513160,channel_106,0.3357209848976717,0.005976562840461492,"[0.07901749990359959, 0.04094821856620898, 0.038917665754224666, -0.15381697282973833, -0.25474629087878115, 0.17231287699265918, -0.08228914249889539, -0.0073974587062921576, 0.049302776290737205, 0.24576182361342375, 0.0243433910598732, -0.05956144692018654, -0.07898493761060582, -0.005635869432064708, -0.1371920359813626, 0.004356358835863515, -0.007847991486949302, 0.24765026282221944, -0.01261255196655717, -0.2903394301724097, 0.4033413493599021, 0.1443534784449891, 0.3141551920233396, -0.1745999961699357, -0.03346607299045721, 0.10174407727003738, 0.08092310907934636, 0.046306400245470794, -0.3318460126366893, -0.25834853462699636, 0.22894187278380138, 0.25576723229078313]"
34,Vlogs,172,2026-01-02 07:45:50.513160,channel_830,0.2838813835663212,0.005664203277968005,"[-0.01772425436722354, 0.23107352853999139, -0.17004903511689395, -0.13202474398564382, -0.1831866876205523, -0.14124714306384714, 0.1201040112167366, -0.14331334021839473, 0.37222029684070734, 0.0764586002097111, 0.180236291387774, 0.08142265693569288, 0.20179806418917212, -0.14425191270886928, 0.24046420571297322, 0.02342246985302953, 0.200966531767273, -0.23923947958161879, 0.03001091356014506, 0.02413705380907266, -0.10291018956204076, 0.05203685497720991, 0.25586547553221395, -0.11569275273111558, 0.15984945933604083, -0.18736512945584435, 0.3505661494151266, 0.13039181648231887, 0.286695247647255, 0.11168895781904459, 0.06491555074505229, 0.13177660527162488]"
35,Movies,560,2026-03-27 07:45:50.513160,channel_47,0.13436591312723675,0.0020656906464014374,"[-0.02571354479622125, -0.3048810405176923, 0.08431247349254788, -0.14237471595569545, -0.20760835207225664, 0.11990954238340959, -0.052598033674759875, 0.19367104852610284, -0.14867600540432757, -0.0887277907653177, 0.21677345752072508, 0.052736391154286556, -0.2784026893922646, 0.048575076774663786, 0.27913962514762664, -0.09018799073452304, 0.1127040619916121, -0.1600670906977167, -0.025776828545143744, 0.2053796692012692, 0.04131424044824843, 0.24296309769648072, 0.08014830143575097, 0.4181218227030759, -0.2949081575608127, -0.040930119175156106, -0.2043805549132501, -0.1915123083213857, -0.18980391714195563, 0.03160795615234306, 0.04264644488014169, 0.08055413274515877]"
36,Movies,886,2025-05-25 07:45:50.513160,channel_336,0.16417867808136333,0.0014090116490802001,"[-0.2325798425717955, -0.06714522799267861, -0.19970026859325854, 0.19381607078740812, -0.18022776063864332, -0.04425864501953847, 0.11603647081873983, -0.12749340977560225, 0.14369851922926652, 0.33053958690754187, 0.039288285571462564, 0.18671880396578275, -0.4293943898019413, -0.08885436203774671, 0.03829197143847937, -0.21806344275541134, 0.043003068091185974, 0.21950802691527904, -0.38924696537330955, -0.24625063843347555, 0.03827384109542614, 0.09535046638654278, 0.15285250278909562, 0.022964618701653915, 0.09557675366116657, 0.18710602830892695, -0.08583205882498489, -0.12603492732087396, -0.03489682309749256, 0.041312887173137254, -0.1363249135641005, -0.08154503677437022]"
